Input size,Best,Worst
8,0.00000,0.00000
16,0.00000,0.00000
32,0.00000,0.00000
64,0.00000,2.00000
128,0.00000,1.00000
256,0.00000,2.00000
512,1.00000,3.00000
1024,6.00000,8.00000
2048,26.00000,29.00000
4096,104.00000,110.00000
8192,420.00000,497.00000
16384,1692.00000,1713.00000
32768,6752.00000,6832.00000
