Input size,Best,Worst
8,3.00000,9.00000
16,11.00000,22.00000
32,29.00000,50.00000
64,82.00000,110.00000
128,183.00000,231.00000
256,408.00000,482.00000
512,907.00000,1028.00000
1024,1799.00000,2068.00000
2048,3581.00000,4242.00000
4096,7546.00000,8545.00000
8192,15111.00000,17140.00000
16384,29667.00000,33972.00000
32768,60972.00000,67836.00000
