Input size,Best,Worst
8,0.00000,0.00000
16,0.00000,0.00000
32,0.00000,0.00000
64,0.00000,1.00000
128,0.00000,1.00000
256,0.00000,1.00000
512,1.00000,3.00000
1024,6.00000,8.00000
2048,26.00000,29.00000
4096,105.00000,108.00000
8192,425.00000,428.00000
16384,1695.00000,1727.00000
32768,6773.00000,7030.00000
