Input size,Comparisons,Time (ms)
2,2,0.0000
4,4,0.0000
8,8,0.0000
16,16,0.0000
32,32,0.0000
64,65,0.0000
128,128,0.0000
256,256,0.0000
512,512,0.0000
1024,1024,0.2000
2048,2048,0.1000
4096,4096,0.5000
8192,8192,1.2000
16384,16384,1.9000
32768,32768,2.8000
65536,65536,5.9000
131072,131072,13.8000
