Input size,Comparisons,Time (ms)
2,2,0.0000
4,4,0.0000
8,9,0.0200
16,21,0.0100
32,39,0.0100
64,73,0.0000
128,128,0.0800
256,256,0.0400
512,512,0.0800
1024,1024,0.1400
2048,2048,0.1600
4096,4096,0.2900
8192,8192,0.6700
16384,16384,1.5300
32768,32768,2.8800
65536,65536,6.3300
131072,131072,14.3400
